correct,wrong,explanation
depozito,depozit,"Doğru yazım: depozito"
dezenfekte,dezenfetan,"Doğru yazım: dezenfekte"
dinozor,dinazor,"Doğru yazım: dinozor"
direkt,direk,"Doğru yazım: direkt"
disk,diks,"Doğru yazım: disk"
doküman,döküman,"Doğru yazım: doküman"
döviz,döviz,"Doğru yazım: döviz"
düzensiz,düzenssiz,"Doğru yazım: düzensiz"
egzoz,egzos,"Doğru yazım: egzoz"
eğlence,eylence,"Doğru yazım: eğlence"
ejderha,ejdarha,"Doğru yazım: ejderha"
ekşi,eşki,"Doğru yazım: ekşi"
ekstra,extra,"Doğru yazım: ekstra"
elastik,elasstik,"Doğru yazım: elastik"
elektrik,elektirik,"Doğru yazım: elektrik"
entellektüel,entellektüel,"Doğru yazım: entellektüel"
erezyon,erazyon,"Doğru yazım: erezyon"
espri,espiri,"Doğru yazım: espri"
eşofman,eşortman,"Doğru yazım: eşofman"
etüt,etüd,"Doğru yazım: etüt"
ezan,ezen,"Doğru yazım: ezan"
facia,fa:cia,"Doğru yazım: facia"
faaliyet,fa:liyet,"Doğru yazım: faaliyet"
fantazi,fantazi,"Doğru yazım: fantazi"
fasulye,fasülye,"Doğru yazım: fasulye"
fatura,fattura,"Doğru yazım: fatura"
film,filim,"Doğru yazım: film"
filtre,filittire,"Doğru yazım: filtre"
fiyat,fiat,"Doğru yazım: fiyat"
floresan,filoresan,"Doğru yazım: floresan"
folklor,folklör,"Doğru yazım: folklor"
fosfor,fosforlu,"Doğru yazım: fosfor"
fren,firen,"Doğru yazım: fren"
gardırop,gardolap,"Doğru yazım: gardırop"
gangster,gangaster,"Doğru yazım: gangster"
gastrit,gastirit,"Doğru yazım: gastrit"
gazete,gaste,"Doğru yazım: gazete"
genel,gennel,"Doğru yazım: genel"
gerçek,gerççek,"Doğru yazım: gerçek"
glikoz,glikoz,"Doğru yazım: glikoz"
gram,gıram,"Doğru yazım: gram"
gramer,gıramer,"Doğru yazım: gramer"
greyfurt,greyfut,"Doğru yazım: greyfurt"
grip,grib,"Doğru yazım: grip"
grup,gurup,"Doğru yazım: grup"
hafif,hafif,"Doğru yazım: hafif"
hafriyat,harfiyat,"Doğru yazım: hafriyat"
hakem,hakkem,"Doğru yazım: hakem"
hakikaten,hakkatten,"Doğru yazım: hakikaten"
halüsinasyon,halisünasyon,"Doğru yazım: halüsinasyon"
hapşırmak,hapşurmak,"Doğru yazım: hapşırmak"
harita,harita,"Doğru yazım: harita"
hastane,hastahane,"Doğru yazım: hastane"
herkes,herkez,"Doğru yazım: herkes"
hırdavat,hurdavat,"Doğru yazım: hırdavat"
ıstırap,ızdırap,"Doğru yazım: ıstırap"
ıslak,ısslak,"Doğru yazım: ıslak"
ıspanak,ıspanak,"Doğru yazım: ıspanak"
ızgara,izgara,"Doğru yazım: ızgara"
içerik,içerrik,"Doğru yazım: içerik"
iddia,idda,"Doğru yazım: iddia"
illüzyon,ilüzyon,"Doğru yazım: illüzyon"
inisiyatif,insiyatif,"Doğru yazım: inisiyatif"
inkılap,inkilap,"Doğru yazım: inkılap"
insan,insan,"Doğru yazım: insan"
ipucu,ip ucu,"Bitişik yazılır."
irite,irrite,"Doğru yazım: irite"
istasyon,isdasyon,"Doğru yazım: istasyon"
istihbarat,istihbarat,"Doğru yazım: istihbarat"
itibarıyla,itibariyle,"Doğru yazım: itibarıyla"
itfaiye,itfaye,"Doğru yazım: itfaiye"
jenerasyon,jenarasyon,"Doğru yazım: jenerasyon"
jenerik,jenerrik,"Doğru yazım: jenerik"
jeoloji,jeolaji,"Doğru yazım: jeoloji"
jest,jest,"Doğru yazım: jest"
jilet,cilet,"Doğru yazım: jilet"
jimnastik,cimnastik,"Doğru yazım: jimnastik"
jübile,jüpile,"Doğru yazım: jübile"
jüri,juri,"Doğru yazım: jüri"
kılavuz,klavuz,"Doğru yazım: kılavuz"
kâğıt,kağıt,"Doğru yazım: kâğıt"
kakofoni,kakafoni,"Doğru yazım: kakofoni"
kalorifer,kalorüfer,"Doğru yazım: kalorifer"
kampanya,kambanya,"Doğru yazım: kampanya"
kanepe,kanape,"Doğru yazım: kanepe"
kaparo,kapora,"Doğru yazım: kaparo"
kapüşon,kapşon,"Doğru yazım: kapüşon"
karnabahar,karnıbahar,"Doğru yazım: karnabahar"
kaset,kasset,"Doğru yazım: kaset"
katliam,katliyam,"Doğru yazım: katliam"
kavga,kavğa,"Doğru yazım: kavga"
kavim,kayım,"Doğru yazım: kavim"
kavram,kavran,"Doğru yazım: kavram"
kavun,kavun,"Doğru yazım: kavun"
kelebek,kelebek,"Doğru yazım: kelebek"
kırmızı,kırmızı,"Doğru yazım: kırmızı"
kibrit,kirbit,"Doğru yazım: kibrit"
kitle,kütle,"Doğru yazım: kitle"
klasik,kilasik,"Doğru yazım: klasik"
koleksiyon,kolleksiyon,"Doğru yazım: koleksiyon"
kolektif,kollektif,"Doğru yazım: kolektif"
komidin,komodin,"Doğru yazım: komidin"
komiser,komser,"Doğru yazım: komiser"
komisyon,komusyon,"Doğru yazım: komisyon"
komple,kompile,"Doğru yazım: komple"
kompleks,komplek,"Doğru yazım: kompleks"
kompliman,kompleman,"Doğru yazım: kompliman"
konservatuvar,konservatuar,"Doğru yazım: konservatuvar"
kontör,kontür,"Doğru yazım: kontör"
koreografi,koreyoğrafi,"Doğru yazım: koreografi"
koridor,koridor,"Doğru yazım: koridor"
korniş,kürniş,"Doğru yazım: korniş"
kravat,gıravat,"Doğru yazım: kravat"
krem,kırem,"Doğru yazım: krem"
kriter,kırter,"Doğru yazım: kriter"
kupür,küpür,"Doğru yazım: kupür"
kurdele,kurdela,"Doğru yazım: kurdele"
laik,layik,"Doğru yazım: laik"
lütfen,lüffen,"Doğru yazım: lütfen"
laboratuvar,laboratuar,"Doğru yazım: laboratuvar"
lahana,lağna,"Doğru yazım: lahana"
lanse,lanze,"Doğru yazım: lanse"
lavabo,lavobo,"Doğru yazım: lavabo"
layık,laik,"Doğru yazım: layık"
legal,leğal,"Doğru yazım: legal"
leğen,leyen,"Doğru yazım: leğen"
lejant,lejand,"Doğru yazım: lejant"
limon,limun,"Doğru yazım: limon"
lise,lisse,"Doğru yazım: lise"
literatür,literatür,"Doğru yazım: literatür"
lüks,lülks,"Doğru yazım: lüks"
maalesef,maalesef,"Doğru yazım: maalesef"
mağdur,mahdur,"Doğru yazım: mağdur"
mağlup,mağlup,"Doğru yazım: mağlup"
mahcup,maçup,"Doğru yazım: mahcup"
mahv,mahıf,"Doğru yazım: mahv"
makine,makina,"Doğru yazım: makine"
mandıra,mandira,"Doğru yazım: mandıra"
maneviyat,maneviyat,"Doğru yazım: maneviyat"
manikür,manikür,"Doğru yazım: manikür"
mantalite,mantelite,"Doğru yazım: mantalite"
menü,mönü,"Doğru yazım: menü"
mevta,mefta,"Doğru yazım: mevta"
meyve,meyva,"Doğru yazım: meyve"
mezarlık,mezerlik,"Doğru yazım: mezarlık"
mide,miğde,"Doğru yazım: mide"
mikrofon,mikrafon,"Doğru yazım: mikrofon"
minibüs,minübüs,"Doğru yazım: minibüs"
misafir,musafir,"Doğru yazım: misafir"
montaj,montac,"Doğru yazım: montaj"
motamot,motomot,"Doğru yazım: motamot"
motosiklet,motorsiklet,"Doğru yazım: motosiklet"
mönü,menü,"Doğru yazım: mönü"
muhatap,muhattap,"Doğru yazım: muhatap"
mural,murdal,"Doğru yazım: mural"
muz,muz,"Doğru yazım: muz"
müdahale,müdahele,"Doğru yazım: müdahale"
müspet,müsbet,"Doğru yazım: müspet"
müstahak,müstehak,"Doğru yazım: müstahak"
müteahhit,mütahit,"Doğru yazım: müteahhit"
müzik,müsik,"Doğru yazım: müzik"
naçizane,nacizane,"Doğru yazım: naçizane"
naylon,naylon,"Doğru yazım: naylon"
nefret,nefret,"Doğru yazım: nefret"
neredeyse,nerdeyse,"Doğru yazım: neredeyse"
neşriyat,neşriyat,"Doğru yazım: neşriyat"
nohut,nohud,"Doğru yazım: nohut"
nokta,nokda,"Doğru yazım: nokta"
normal,narmal,"Doğru yazım: normal"
noter,notar,"Doğru yazım: noter"
nüans,nüans,"Doğru yazım: nüans"
nüfus,nüfüs,"Doğru yazım: nüfus"
otel,otel,"Doğru yazım: otel"
otoban,otoban,"Doğru yazım: otoban"
otobüs,otobus,"Doğru yazım: otobüs"
otomatik,otomatik,"Doğru yazım: otomatik"
öge,öğe,"Doğru yazım: öge"
öğrenci,öğrence,"Doğru yazım: öğrenci"
öğretmen,öretmen,"Doğru yazım: öğretmen"
öğün,öğün,"Doğru yazım: öğün"
ömür,ömür,"Doğru yazım: ömür"
önsöz,ön söz,"Bitişik yazılır."
özgeçmiş,öz geçmiş,"Bitişik yazılır."
özgün,özgün,"Doğru yazım: özgün"
özveri,öz veri,"Bitişik yazılır."
pijama,picama,"Doğru yazım: pijama"
panorama,panaroma,"Doğru yazım: panorama"
papyon,papyun,"Doğru yazım: papyon"
paragraf,parağraf,"Doğru yazım: paragraf"
paralel,parelel,"Doğru yazım: paralel"
parantez,parantez,"Doğru yazım: parantez"
paratoner,parataner,"Doğru yazım: paratoner"
parfüm,parfüm,"Doğru yazım: parfüm"
parlamento,parlemento,"Doğru yazım: parlamento"
pastane,pasthane,"Doğru yazım: pastane"
patates,patates,"Doğru yazım: patates"
pedikür,pedikür,"Doğru yazım: pedikür"
pejmürde,peşmürde,"Doğru yazım: pejmürde"
perhiz,pehriz,"Doğru yazım: perhiz"
permanganat,permenganat,"Doğru yazım: permanganat"
personel,personel,"Doğru yazım: personel"
peş peşe,peşpeşe,"Ayrı yazılır."
poğaça,poaça,"Doğru yazım: poğaça"
polis,polis,"Doğru yazım: polis"
portakal,portakal,"Doğru yazım: portakal"
portmanto,portmanto,"Doğru yazım: portmanto"
prezantabl,prezantabl,"Doğru yazım: prezantabl"
profesör,profesör,"Doğru yazım: profesör"
program,proğram,"Doğru yazım: program"
proje,proje,"Doğru yazım: proje"
promosyon,promosyon,"Doğru yazım: promosyon"
propaganda,propaganda,"Doğru yazım: propaganda"
provokasyon,provakasyon,"Doğru yazım: provokasyon"
psikoloji,psikoloji,"Doğru yazım: psikoloji"
psikopos,piskopos,"Doğru yazım: psikopos"
radyasyon,radyasyon,"Doğru yazım: radyasyon"
randevu,randevu,"Doğru yazım: randevu"
raslantı,rastlantı,"Doğru yazım: raslantı"
restoran,restaurant,"Doğru yazım: restoran"
revanş,rövanş,"Doğru yazım: revanş"
rezerve,rezerva,"Doğru yazım: rezerve"
ritim,ritm,"Doğru yazım: ritim"
röportaj,roportaj,"Doğru yazım: röportaj"
rötar,rötar,"Doğru yazım: rötar"
rötuş,rötuş,"Doğru yazım: rötuş"
ruh,ruh,"Doğru yazım: ruh"
sağ ol,sağol,"Ayrı yazılır."
sar sarj,şarj,"Doğru yazım: şarj"
sandviç,sandöviç,"Doğru yazım: sandviç"
sarmısak,sarımsak,"Doğru yazım: sarmısak"
saye,saye,"Doğru yazım: saye"
sayesinde,sayasinde,"Doğru yazım: sayesinde"
sezaryen,sezaryan,"Doğru yazım: sezaryen"
sıkıntı,sıkıntı,"Doğru yazım: sıkıntı"
silüet,sülüet,"Doğru yazım: silüet"
simetri,simetri,"Doğru yazım: simetri"
sivilce,sivilce,"Doğru yazım: sivilce"
sohbet,sohpet,"Doğru yazım: sohbet"
soğan,soğan,"Doğru yazım: soğan"
somurtkan,somurtgan,"Doğru yazım: somurtkan"
sömestir,sömestr,"Doğru yazım: sömestir"
spor,sipor,"Doğru yazım: spor"
standart,standart,"Doğru yazım: standart"
stajyer,stajer,"Doğru yazım: stajyer"
stüdyo,stüdio,"Doğru yazım: stüdyo"
sutyen,sütyen,"Doğru yazım: sutyen"
sürpriz,süpriz,"Doğru yazım: sürpriz"
şalter,şartel,"Doğru yazım: şalter"
şampuan,şampuan,"Doğru yazım: şampuan"
şarj,şarz,"Doğru yazım: şarj"
şefkat,şevkat,"Doğru yazım: şefkat"
şempanze,şempanze,"Doğru yazım: şempanze"
şoför,şöför,"Doğru yazım: şoför"
şövalye,şovalye,"Doğru yazım: şövalye"
tabii,tabi,"Doğru yazım: tabii"
tahammül,tahamül,"Doğru yazım: tahammül"
tahterevalli,tahteravalli,"Doğru yazım: tahterevalli"
takdir,taktir,"Doğru yazım: takdir"
tampon,tampon,"Doğru yazım: tampon"
tasarruf,tasarruf,"Doğru yazım: tasarruf"
tasfiye,tasviye,"Doğru yazım: tasfiye"
tasvir,tasfir,"Doğru yazım: tasvir"
tazyik,tazyik,"Doğru yazım: tazyik"
teferruat,teferruat,"Doğru yazım: teferruat"
teknoloji,teknoloji,"Doğru yazım: teknoloji"
teleferik,teliferik,"Doğru yazım: teleferik"
televizyon,televizyon,"Doğru yazım: televizyon"
tembih,tembih,"Doğru yazım: tembih"
teneffüs,tenefüs,"Doğru yazım: teneffüs"
teravih,teravi,"Doğru yazım: teravih"
tercih,terci,"Doğru yazım: tercih"
terlik,terlik,"Doğru yazım: terlik"
tesis,tesis,"Doğru yazım: tesis"
tespih,tesbih,"Doğru yazım: tespih"
teşekkür,teşekür,"Doğru yazım: teşekkür"
teşvik,teşfik,"Doğru yazım: teşvik"
teyit,teyid,"Doğru yazım: teyit"
tıraş,traş,"Doğru yazım: tıraş"
tiyatro,tiyatro,"Doğru yazım: tiyatro"
toprak,toprak,"Doğru yazım: toprak"
tornavida,tornavida,"Doğru yazım: tornavida"
trafik,tırafik,"Doğru yazım: trafik"
tribün,türbün,"Doğru yazım: tribün"
turist,turist,"Doğru yazım: turist"
turnuva,turnuva,"Doğru yazım: turnuva"
tuvalet,tuvalet,"Doğru yazım: tuvalet"
tüyo,tüyo,"Doğru yazım: tüyo"
uçak,uçak,"Doğru yazım: uçak"
uçurum,uçurum,"Doğru yazım: uçurum"
uğur,uğur,"Doğru yazım: uğur"
ultra,ultra,"Doğru yazım: ultra"
ultrason,ultrasyon,"Doğru yazım: ultrason"
umut,umut,"Doğru yazım: umut"
unvan,ünvan,"Doğru yazım: unvan"
usul,usül,"Doğru yazım: usul"
uygun,uygun,"Doğru yazım: uygun"
üç,üç,"Doğru yazım: üç"
üniforma,üniforma,"Doğru yazım: üniforma"
ünite,ünite,"Doğru yazım: ünite"
üslup,üslup,"Doğru yazım: üslup"
ütü,ütü,"Doğru yazım: ütü"
üzeri,üzeri,"Doğru yazım: üzeri"
üzgün,üzgün,"Doğru yazım: üzgün"
vade,vaade,"Doğru yazım: vade"
vagon,vagon,"Doğru yazım: vagon"
vantilatör,vantilatör,"Doğru yazım: vantilatör"
vazgeçmek,vaz geçmek,"Bitişik yazılır."
vejetaryen,vejeteryan,"Doğru yazım: vejetaryen"
veya,ve ya,"Bitişik yazılır."
video,vidyo,"Doğru yazım: video"
vitamin,vitamin,"Doğru yazım: vitamin"
viyadük,viyadük,"Doğru yazım: viyadük"
voleybol,voleybol,"Doğru yazım: voleybol"
yüzölçümü,yüz ölçümü,"Bitişik yazılır."
yakın,yakın,"Doğru yazım: yakın"
yalnız,yanlız,"Doğru yazım: yalnız"
yanlış,yalnış,"Doğru yazım: yanlış"
yapboz,yap boz,"Bitişik yazılır."
yapyakın,yap yakın,"Bitişik yazılır."
yazar kasa,yazarkasa,"Ayrı yazılır."
yayın,yayım,"Doğru yazım: yayın"
yayınevi,yayın evi,"Bitişik yazılır."
yelpaze,yelpaze,"Doğru yazım: yelpaze"
yemiş,yemiş,"Doğru yazım: yemiş"
yeşil,yeşil,"Doğru yazım: yeşil"
yetenek,yetenek,"Doğru yazım: yetenek"
yetki,yetki,"Doğru yazım: yetki"
yılbaşı,yıl başı,"Bitişik yazılır."
yok,yok,"Doğru yazım: yok"
yol,yol,"Doğru yazım: yol"
yöntem,yöntem,"Doğru yazım: yöntem"
yörünge,yörünge,"Doğru yazım: yörünge"
yufka,yufka,"Doğru yazım: yufka"
yüksek,yüksek,"Doğru yazım: yüksek"
yüz,yüz,"Doğru yazım: yüz"
zarafet,zerafet,"Doğru yazım: zarafet"
zencefil,zencebil,"Doğru yazım: zencefil"
zeytin,zeytin,"Doğru yazım: zeytin"
zihniyet,zihniyet,"Doğru yazım: zihniyet"
zikir,zikir,"Doğru yazım: zikir"
ziynet,ziynet,"Doğru yazım: ziynet"
